GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bff-innovatech,cl.duoc.innovatech.bff_innovatech.controller,RecursosBffController,65,0,0,0,12,0,10,0,10,0
bff-innovatech,cl.duoc.innovatech.bff_innovatech.controller,ProyectoBffController,0,44,1,3,0,8,1,6,0,5
bff-innovatech,cl.duoc.innovatech.bff_innovatech.controller,DashboardBffController,0,16,0,0,0,3,0,3,0,3
bff-innovatech,cl.duoc.innovatech.bff_innovatech,BffInnovatechApplication,5,3,0,0,2,1,1,1,1,1
bff-innovatech,cl.duoc.innovatech.bff_innovatech.exception,RecursoNoEncontradoException,0,4,0,0,0,2,0,1,0,1
bff-innovatech,cl.duoc.innovatech.bff_innovatech.exception,GlobalExceptionHandler,19,47,0,0,4,11,2,5,2,5
bff-innovatech,cl.duoc.innovatech.bff_innovatech.exception,MicroservicioNoDisponibleException,0,6,0,0,0,2,0,1,0,1
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsAnaliticaClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsRecursosClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsRecursosClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsAnaliticaClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsAnaliticaClient,77,4,0,0,12,1,3,1,3,1
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsProyectosClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsProyectosClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsRecursosClient,269,4,0,0,52,1,11,1,11,1
bff-innovatech,cl.duoc.innovatech.bff_innovatech.client,MsProyectosClient,186,4,0,0,36,1,7,1,7,1
bff-innovatech,cl.duoc.innovatech.bff_innovatech.service.impl,ProyectoBffServiceImpl,0,58,0,0,0,14,0,7,0,7
bff-innovatech,cl.duoc.innovatech.bff_innovatech.service.impl,DashboardBffServiceImpl,0,65,0,4,0,20,0,6,0,4
bff-innovatech,cl.duoc.innovatech.bff_innovatech.service.impl,RecursosBffServiceImpl,0,95,0,0,0,24,0,11,0,11
bff-innovatech,cl.duoc.innovatech.bff_innovatech.config,CorsConfig,0,14,0,0,0,3,0,2,0,2
bff-innovatech,cl.duoc.innovatech.bff_innovatech.config,SwaggerConfig,0,34,0,0,0,11,0,2,0,2
bff-innovatech,cl.duoc.innovatech.bff_innovatech.config,CorsConfig.new WebMvcConfigurer() {...},0,53,0,0,0,7,0,2,0,2
bff-innovatech,cl.duoc.innovatech.bff_innovatech.config,RestTemplateConfig,0,16,0,0,0,5,0,2,0,2
